Frame	Depth	Color	D_i-D_i-1	C_i-C_i-1	C_i-D_i
0	30003254	30003258	30003254	30003258	4
1	30003290	30003294	36	36	4
2	30003322	30003326	32	32	4
3	30003354	30003358	32	32	4
4	30003390	30003394	36	36	4
5	30003422	30003426	32	32	4
6	30003454	30003458	32	32	4
7	30003490	30003494	36	36	4
8	30003522	30003526	32	32	4
9	30003554	30003558	32	32	4
10	30003590	30003594	36	36	4
11	30003622	30003626	32	32	4
12	30003654	30003658	32	32	4
13	30003690	30003694	36	36	4
14	30003722	30003726	32	32	4
15	30003758	30003758	36	32	0
16	30003790	30003794	32	36	4
17	30003822	30003826	32	32	4
18	30003858	30003858	36	32	0
19	30003890	30003894	32	36	4
20	30003922	30003926	32	32	4
21	30003958	30003958	36	32	0
22	30003990	30003994	32	36	4
23	30004022	30004026	32	32	4
24	30004058	30004058	36	32	0
25	30004090	30004058	32	0	32
26	30004122	30004058	32	0	64
27	30004158	30004058	36	0	100
28	30004190	30004058	32	0	132
29	30004222	30004058	32	0	164
30	30004258	30004058	36	0	200
31	30004290	30004058	32	0	232
32	30004322	30004058	32	0	264
33	30004358	30004058	36	0	300
34	30004358	30004094	0	36	264
35	30004390	30004094	32	0	296
36	30004422	30004426	32	332	4
37	30004458	30004458	36	32	0
38	30004490	30004494	32	36	4
39	30004522	30004526	32	32	4
40	30004558	30004558	36	32	0
41	30004590	30004594	32	36	4
42	30004622	30004626	32	32	4
43	30004658	30004658	36	32	0
44	30004690	30004694	32	36	4
45	30004722	30004726	32	32	4
46	30004758	30004726	36	0	32
47	30004790	30004726	32	0	64
48	30004822	30004726	32	0	96
49	30004858	30004726	36	0	132
50	30004890	30004726	32	0	164
51	30004922	30004726	32	0	196
52	30004958	30004726	36	0	232
53	30004958	30004758	0	32	200
54	30004990	30004758	32	0	232
55	30005022	30004758	32	0	264
56	30005058	30004758	36	0	300
57	30005090	30004758	32	0	332
58	30005122	30004758	32	0	364
59	30005158	30004758	36	0	400
60	30005190	30004758	32	0	432
61	30005222	30004758	32	0	464
62	30005258	30004758	36	0	500
63	30005326	30004758	68	0	568
64	30005358	30004758	32	0	600
65	30005390	30004758	32	0	632
66	30005426	30004758	36	0	668
67	30005458	30004758	32	0	700
68	30005490	30004758	32	0	732
69	30005526	30004758	36	0	768
70	30005558	30004758	32	0	800
71	30005590	30004758	32	0	832
72	30005626	30004758	36	0	868
73	30005658	30004758	32	0	900
74	30005690	30004758	32	0	932
75	30005726	30004758	36	0	968
76	30005758	30004758	32	0	1000
77	30005790	30004758	32	0	1032
78	30005826	30004758	36	0	1068
79	30005858	30004758	32	0	1100
80	30005858	30005026	0	268	832
81	30005890	30005026	32	0	864
82	30005926	30005926	36	900	0
83	30005958	30005926	32	0	32
84	30005958	30005958	0	32	0
85	30005990	30005958	32	0	32
86	30006026	30006026	36	68	0
87	30006058	30006058	32	32	0
88	30006090	30006094	32	36	4
89	30006126	30006094	36	0	32
90	30006162	30006094	36	0	68
91	30006194	30006094	32	0	100
92	30006226	30006094	32	0	132
93	30006262	30006094	36	0	168
94	30006294	30006094	32	0	200
95	30006326	30006094	32	0	232
96	30006362	30006094	36	0	268
97	30006394	30006094	32	0	300
98	30006426	30006094	32	0	332
99	30006462	30006094	36	0	368
