Frame	Depth	Color	D_i-D_i-1	C_i-C_i-1	C_i-D_i
0	30283458	30283466	30283458	30283466	8
1	30283494	30283502	36	36	8
2	30283526	30283534	32	32	8
3	30283558	30283566	32	32	8
4	30283594	30283602	36	36	8
5	30283626	30283634	32	32	8
6	30283662	30283666	36	32	4
7	30283694	30283702	32	36	8
8	30283730	30283734	36	32	4
9	30283762	30283766	32	32	4
10	30283794	30283802	32	36	8
11	30283830	30283834	36	32	4
12	30283862	30283866	32	32	4
13	30283898	30283902	36	36	4
14	30283930	30283934	32	32	4
15	30283966	30283966	36	32	0
16	30283998	30284002	32	36	4
17	30284030	30284034	32	32	4
18	30284066	30284066	36	32	0
19	30284098	30284102	32	36	4
20	30284130	30284134	32	32	4
21	30284166	30284166	36	32	0
22	30284198	30284202	32	36	4
23	30284230	30284234	32	32	4
24	30284262	30284266	32	32	4
25	30284294	30284266	32	0	28
26	30284330	30284266	36	0	64
27	30284362	30284266	32	0	96
28	30284362	30284302	0	36	60
29	30284394	30284302	32	0	92
30	30284430	30284434	36	132	4
31	30284462	30284466	32	32	4
32	30284494	30284502	32	36	8
33	30284530	30284534	36	32	4
34	30284563	30284568	33	34	5
35	30284594	30284602	31	34	8
36	30284630	30284634	36	32	4
37	30284666	30284666	36	32	0
38	30284698	30284702	32	36	4
39	30284730	30284734	32	32	4
40	30284766	30284766	36	32	0
41	30284798	30284802	32	36	4
42	30284830	30284834	32	32	4
43	30284866	30284866	36	32	0
44	30284898	30284902	32	36	4
45	30284934	30284934	36	32	0
46	30284966	30284966	32	32	0
47	30284998	30285002	32	36	4
48	30285030	30285034	32	32	4
49	30285063	30285066	33	32	3
50	30285098	30285102	35	36	4
51	30285130	30285134	32	32	4
52	30285162	30285166	32	32	4
53	30285194	30285202	32	36	8
54	30285226	30285234	32	32	8
55	30285262	30285266	36	32	4
56	30285294	30285302	32	36	8
57	30285330	30285334	36	32	4
58	30285362	30285366	32	32	4
59	30285398	30285402	36	36	4
60	30285430	30285434	32	32	4
61	30285462	30285466	32	32	4
62	30285498	30285502	36	36	4
63	30285530	30285534	32	32	4
64	30285562	30285566	32	32	4
65	30285598	30285602	36	36	4
66	30285630	30285634	32	32	4
67	30285662	30285666	32	32	4
68	30285698	30285702	36	36	4
69	30285730	30285734	32	32	4
70	30285762	30285766	32	32	4
71	30285798	30285802	36	36	4
72	30285830	30285834	32	32	4
73	30285862	30285866	32	32	4
74	30285898	30285902	36	36	4
75	30285930	30285934	32	32	4
76	30285962	30285966	32	32	4
77	30285998	30286002	36	36	4
78	30286030	30286034	32	32	4
79	30286062	30286066	32	32	4
80	30286098	30286102	36	36	4
81	30286130	30286134	32	32	4
82	30286162	30286166	32	32	4
83	30286198	30286202	36	36	4
84	30286230	30286234	32	32	4
85	30286262	30286266	32	32	4
86	30286298	30286302	36	36	4
87	30286330	30286334	32	32	4
88	30286366	30286366	36	32	0
89	30286398	30286402	32	36	4
90	30286430	30286434	32	32	4
91	30286466	30286466	36	32	0
92	30286498	30286502	32	36	4
93	30286530	30286534	32	32	4
94	30286566	30286566	36	32	0
95	30286598	30286602	32	36	4
96	30286630	30286634	32	32	4
97	30286666	30286666	36	32	0
98	30286698	30286702	32	36	4
99	30286730	30286734	32	32	4
100	30286766	30286734	36	0	32
101	30286766	30286766	0	32	0
102	30286798	30286802	32	36	4
103	30286830	30286834	32	32	4
104	30286866	30286834	36	0	32
105	30286866	30286866	0	32	0
106	30286898	30286902	32	36	4
107	30286930	30286934	32	32	4
108	30286966	30286966	36	32	0
