Frame	Depth	Color	D_i-D_i-1	C_i-C_i-1	C_i-D_i
0	30845711	30845716	30845711	30845716	5
1	30845779	30845752	68	36	27
2	30845811	30845784	32	32	27
3	30845847	30845852	36	68	5
4	30845879	30845884	32	32	5
5	30845947	30845916	68	32	31
6	30845983	30845952	36	36	31
7	30845983	30845984	0	32	1
8	30846015	30846016	32	32	1
9	30846047	30846052	32	36	5
10	30846083	30846084	36	32	1
11	30846115	30846116	32	32	1
12	30846147	30846152	32	36	5
13	30846183	30846184	36	32	1
14	30846215	30846216	32	32	1
15	30846247	30846252	32	36	5
16	30846283	30846284	36	32	1
17	30846315	30846316	32	32	1
18	30846351	30846352	36	36	1
19	30846383	30846384	32	32	1
20	30846415	30846416	32	32	1
21	30846451	30846452	36	36	1
22	30846483	30846484	32	32	1
23	30846515	30846516	32	32	1
24	30846551	30846552	36	36	1
25	30846583	30846584	32	32	1
26	30846615	30846584	32	0	31
27	30846615	30846616	0	32	1
28	30846647	30846652	32	36	5
29	30846679	30846684	32	32	5
30	30846715	30846716	36	32	1
31	30846747	30846752	32	36	5
32	30846783	30846784	36	32	1
33	30846815	30846816	32	32	1
34	30846847	30846852	32	36	5
35	30846883	30846884	36	32	1
36	30846915	30846916	32	32	1
37	30846947	30846952	32	36	5
38	30846983	30846984	36	32	1
39	30847015	30847016	32	32	1
40	30847047	30847052	32	36	5
41	30847083	30847084	36	32	1
42	30847115	30847116	32	32	1
43	30847151	30847152	36	36	1
44	30847183	30847184	32	32	1
45	30847215	30847216	32	32	1
46	30847251	30847252	36	36	1
47	30847283	30847284	32	32	1
48	30847315	30847316	32	32	1
49	30847351	30847352	36	36	1
50	30847383	30847352	32	0	31
51	30847383	30847384	0	32	1
52	30847415	30847384	32	0	31
53	30847447	30847452	32	68	5
54	30847479	30847484	32	32	5
55	30847515	30847516	36	32	1
56	30847547	30847552	32	36	5
57	30847583	30847584	36	32	1
58	30847615	30847616	32	32	1
59	30847647	30847652	32	36	5
60	30847683	30847684	36	32	1
61	30847715	30847716	32	32	1
62	30847751	30847752	36	36	1
63	30847783	30847784	32	32	1
64	30847815	30847816	32	32	1
65	30847851	30847852	36	36	1
66	30847883	30847884	32	32	1
67	30847915	30847884	32	0	31
68	30847915	30847916	0	32	1
69	30847947	30847952	32	36	5
70	30847979	30847984	32	32	5
71	30848015	30848016	36	32	1
72	30848047	30848052	32	36	5
73	30848083	30848084	36	32	1
74	30848115	30848116	32	32	1
75	30848147	30848152	32	36	5
76	30848183	30848184	36	32	1
77	30848215	30848216	32	32	1
78	30848247	30848252	32	36	5
79	30848283	30848284	36	32	1
