Frame	Depth	Color	D_i-D_i-1	C_i-C_i-1	C_i-D_i
80	30848315	30848316	32	32	1
81	30848347	30848352	32	36	5
82	30848383	30848384	36	32	1
83	30848415	30848416	32	32	1
84	30848451	30848452	36	36	1
85	30848483	30848484	32	32	1
86	30848515	30848516	32	32	1
87	30848551	30848552	36	36	1
88	30848583	30848584	32	32	1
89	30848615	30848616	32	32	1
90	30848651	30848652	36	36	1
91	30848683	30848684	32	32	1
92	30848715	30848716	32	32	1
93	30848747	30848752	32	36	5
94	30848779	30848784	32	32	5
95	30848815	30848816	36	32	1
96	30848847	30848852	32	36	5
97	30848883	30848884	36	32	1
98	30848915	30848916	32	32	1
99	30848947	30848952	32	36	5
100	30848983	30848984	36	32	1
101	30849015	30849016	32	32	1
102	30849047	30849052	32	36	5
103	30849083	30849084	36	32	1
104	30849115	30849116	32	32	1
105	30849147	30849152	32	36	5
106	30849183	30849184	36	32	1
107	30849215	30849216	32	32	1
108	30849247	30849252	32	36	5
109	30849283	30849252	36	0	31
110	30849315	30849252	32	0	63
111	30849315	30849284	0	32	31
112	30849351	30849284	36	0	67
113	30849383	30849384	32	100	1
114	30849415	30849416	32	32	1
115	30849451	30849452	36	36	1
116	30849483	30849484	32	32	1
117	30849515	30849516	32	32	1
118	30849547	30849552	32	36	5
119	30849579	30849584	32	32	5
120	30849615	30849616	36	32	1
121	30849647	30849652	32	36	5
122	30849679	30849684	32	32	5
123	30849715	30849716	36	32	1
124	30849747	30849752	32	36	5
125	30849779	30849785	32	33	6
126	30849815	30849816	36	31	1
127	30849847	30849852	32	36	5
128	30849879	30849884	32	32	5
129	30849915	30849916	36	32	1
130	30849947	30849952	32	36	5
131	30849983	30849984	36	32	1
132	30850015	30850016	32	32	1
133	30850047	30850052	32	36	5
134	30850083	30850084	36	32	1
135	30850115	30850116	32	32	1
136	30850147	30850152	32	36	5
137	30850183	30850184	36	32	1
138	30850215	30850216	32	32	1
139	30850247	30850252	32	36	5
140	30850283	30850284	36	32	1
141	30850315	30850316	32	32	1
142	30850347	30850352	32	36	5
143	30850383	30850352	36	0	31
144	30850383	30850384	0	32	1
145	30850415	30850384	32	0	31
146	30850447	30850452	32	68	5
147	30850483	30850484	36	32	1
148	30850515	30850516	32	32	1
149	30850551	30850552	36	36	1
150	30850583	30850584	32	32	1
151	30850615	30850616	32	32	1
152	30850651	30850652	36	36	1
153	30850683	30850684	32	32	1
154	30850715	30850716	32	32	1
155	30850751	30850752	36	36	1
156	30850783	30850784	32	32	1
157	30850815	30850816	32	32	1
158	30850847	30850852	32	36	5
159	30850879	30850884	32	32	5
160	30850915	30850916	36	32	1
161	30850947	30850952	32	36	5
162	30850983	30850984	36	32	1
163	30851015	30851016	32	32	1
164	30851047	30851052	32	36	5
165	30851083	30851084	36	32	1
166	30851115	30851116	32	32	1
167	30851147	30851152	32	36	5
168	30851183	30851184	36	32	1
169	30851215	30851216	32	32	1
170	30851247	30851252	32	36	5
171	30851283	30851284	36	32	1
172	30851315	30851316	32	32	1
173	30851347	30851352	32	36	5
174	30851383	30851384	36	32	1
175	30851415	30851416	32	32	1
176	30851451	30851452	36	36	1
177	30851483	30851452	32	0	31
178	30851515	30851452	32	0	63
179	30851551	30851452	36	0	99
180	30851583	30851452	32	0	131
181	30851615	30851452	32	0	163
182	30851615	30851484	0	32	131
183	30851651	30851484	36	0	167
184	30851683	30851684	32	200	1
185	30851715	30851716	32	32	1
186	30851751	30851752	36	36	1
187	30851783	30851784	32	32	1
188	30851815	30851816	32	32	1
189	30851847	30851852	32	36	5
190	30851879	30851884	32	32	5
191	30851915	30851916	36	32	1
192	30851947	30851952	32	36	5
193	30851979	30851984	32	32	5
194	30852015	30852016	36	32	1
195	30852047	30852052	32	36	5
196	30852079	30852084	32	32	5
197	30852115	30852116	36	32	1
198	30852147	30852152	32	36	5
199	30852183	30852184	36	32	1
200	30852215	30852216	32	32	1
201	30852247	30852252	32	36	5
202	30852283	30852284	36	32	1
203	30852315	30852316	32	32	1
204	30852351	30852352	36	36	1
205	30852383	30852384	32	32	1
206	30852415	30852416	32	32	1
207	30852451	30852452	36	36	1
208	30852483	30852484	32	32	1
209	30852519	30852516	36	32	3
210	30852551	30852552	32	36	1
211	30852583	30852584	32	32	1
212	30852615	30852616	32	32	1
213	30852647	30852652	32	36	5
214	30852683	30852684	36	32	1
215	30852715	30852716	32	32	1
216	30852747	30852752	32	36	5
217	30852783	30852784	36	32	1
218	30852815	30852816	32	32	1
219	30852847	30852852	32	36	5
220	30852883	30852884	36	32	1
221	30852915	30852920	32	36	5
222	30852947	30852952	32	32	5
223	30852983	30852984	36	32	1
224	30853015	30853020	32	36	5
225	30853051	30853052	36	32	1
226	30853084	30853084	33	32	0
227	30853115	30853120	31	36	5
228	30853151	30853152	36	32	1
229	30853183	30853184	32	32	1
230	30853215	30853220	32	36	5
231	30853251	30853252	36	32	1
232	30853283	30853284	32	32	1
233	30853315	30853320	32	36	5
234	30853351	30853352	36	32	1
235	30853383	30853384	32	32	1
236	30853419	30853420	36	36	1
237	30853451	30853452	32	32	1
238	30853483	30853484	32	32	1
239	30853519	30853520	36	36	1
240	30853551	30853552	32	32	1
241	30853583	30853552	32	0	31
242	30853615	30853552	32	0	63
243	30853615	30853584	0	32	31
244	30853647	30853584	32	0	63
245	30853683	30853684	36	100	1
246	30853715	30853720	32	36	5
247	30853747	30853720	32	0	27
248	30853779	30853720	32	0	59
249	30853811	30853720	32	0	91
250	30853847	30853720	36	0	127
251	30853847	30853752	0	32	95
252	30853879	30853752	32	0	127
253	30853911	30853920	32	168	9
254	30853947	30853952	36	32	5
255	30853979	30853984	32	32	5
256	30854011	30854020	32	36	9
257	30854047	30854052	36	32	5
258	30854079	30854084	32	32	5
259	30854115	30854120	36	36	5
260	30854147	30854152	32	32	5
261	30854179	30854184	32	32	5
262	30854215	30854220	36	36	5
263	30854247	30854220	32	0	27
264	30854283	30854220	36	0	63
265	30854315	30854220	32	0	95
266	30854347	30854220	32	0	127
267	30854383	30854220	36	0	163
268	30854415	30854220	32	0	195
269	30854451	30854220	36	0	231
270	30854483	30854220	32	0	263
271	30854483	30854252	0	32	231
272	30854515	30854252	32	0	263
273	30854551	30854552	36	300	1
274	30854583	30854584	32	32	1
275	30854615	30854620	32	36	5
276	30854651	30854652	36	32	1
277	30854683	30854684	32	32	1
278	30854719	30854720	36	36	1
279	30854751	30854752	32	32	1
280	30854787	30854784	36	32	3
281	30854819	30854820	32	36	1
282	30854851	30854852	32	32	1
283	30854887	30854884	36	32	3
284	30854919	30854920	32	36	1
285	30854951	30854952	32	32	1
286	30854983	30854984	32	32	1
287	30855015	30855020	32	36	5
288	30855051	30855052	36	32	1
289	30855083	30855084	32	32	1
290	30855115	30855120	32	36	5
291	30855147	30855152	32	32	5
292	30855179	30855184	32	32	5
293	30855215	30855220	36	36	5
294	30855247	30855252	32	32	5
295	30855279	30855284	32	32	5
296	30855315	30855320	36	36	5
297	30855347	30855352	32	32	5
298	30855379	30855384	32	32	5
299	30855415	30855420	36	36	5
300	30855451	30855452	36	32	1
301	30855483	30855484	32	32	1
302	30855515	30855520	32	36	5
303	30855551	30855552	36	32	1
304	30855583	30855584	32	32	1
305	30855615	30855620	32	36	5
306	30855651	30855652	36	32	1
307	30855683	30855684	32	32	1
308	30855715	30855720	32	36	5
309	30855751	30855752	36	32	1
310	30855783	30855784	32	32	1
311	30855819	30855820	36	36	1
312	30855851	30855852	32	32	1
313	30855883	30855884	32	32	1
314	30855919	30855920	36	36	1
315	30855951	30855952	32	32	1
316	30855983	30855984	32	32	1
317	30856019	30856020	36	36	1
318	30856051	30856052	32	32	1
319	30856083	30856084	32	32	1
320	30856115	30856120	32	36	5
321	30856147	30856152	32	32	5
322	30856179	30856184	32	32	5
323	30856211	30856220	32	36	9
324	30856247	30856252	36	32	5
325	30856279	30856284	32	32	5
326	30856311	30856320	32	36	9
327	30856347	30856352	36	32	5
328	30856379	30856384	32	32	5
329	30856415	30856420	36	36	5
330	30856447	30856452	32	32	5
331	30856483	30856484	36	32	1
332	30856515	30856520	32	36	5
333	30856547	30856552	32	32	5
334	30856583	30856584	36	32	1
335	30856615	30856620	32	36	5
336	30856651	30856652	36	32	1
337	30856683	30856684	32	32	1
338	30856715	30856720	32	36	5
339	30856751	30856752	36	32	1
340	30856783	30856784	32	32	1
341	30856815	30856820	32	36	5
342	30856851	30856852	36	32	1
343	30856883	30856884	32	32	1
344	30856915	30856920	32	36	5
345	30856951	30856952	36	32	1
346	30856983	30856984	32	32	1
347	30857019	30857021	36	37	2
348	30857051	30857052	32	31	1
349	30857083	30857085	32	33	2
350	30857119	30857120	36	35	1
351	30857151	30857120	32	0	31
352	30857183	30857120	32	0	63
353	30857215	30857120	32	0	95
354	30857247	30857120	32	0	127
355	30857283	30857120	36	0	163
356	30857315	30857120	32	0	195
357	30857347	30857120	32	0	227
358	30857383	30857120	36	0	263
359	30857415	30857120	32	0	295
360	30857447	30857120	32	0	327
361	30857483	30857120	36	0	363
362	30857483	30857152	0	32	331
363	30857515	30857152	32	0	363
364	30857547	30857552	32	400	5
365	30857583	30857584	36	32	1
366	30857615	30857620	32	36	5
367	30857647	30857652	32	32	5
368	30857683	30857684	36	32	1
369	30857719	30857720	36	36	1
370	30857751	30857752	32	32	1
371	30857783	30857784	32	32	1
372	30857819	30857820	36	36	1
373	30857851	30857852	32	32	1
374	30857887	30857884	36	32	3
375	30857919	30857920	32	36	1
376	30857957	30857956	38	36	1
377	30857987	30857984	30	28	3
378	30858019	30858020	32	36	1
379	30858051	30858052	32	32	1
380	30858083	30858084	32	32	1
381	30858115	30858120	32	36	5
382	30858147	30858152	32	32	5
383	30858183	30858184	36	32	1
384	30858215	30858220	32	36	5
385	30858247	30858252	32	32	5
386	30858283	30858284	36	32	1
387	30858315	30858320	32	36	5
388	30858347	30858352	32	32	5
389	30858383	30858384	36	32	1
390	30858415	30858420	32	36	5
391	30858447	30858452	32	32	5
392	30858483	30858484	36	32	1
393	30858515	30858520	32	36	5
394	30858551	30858552	36	32	1
395	30858583	30858584	32	32	1
396	30858615	30858620	32	36	5
397	30858651	30858652	36	32	1
398	30858683	30858684	32	32	1
399	30858715	30858720	32	36	5
400	30858751	30858752	36	32	1
401	30858783	30858784	32	32	1
402	30858815	30858820	32	36	5
403	30858851	30858852	36	32	1
404	30858883	30858884	32	32	1
405	30858915	30858920	32	36	5
406	30858951	30858952	36	32	1
407	30858983	30858984	32	32	1
408	30859019	30859020	36	36	1
409	30859051	30859052	32	32	1
410	30859083	30859084	32	32	1
411	30859119	30859120	36	36	1
412	30859151	30859152	32	32	1
413	30859183	30859184	32	32	1
414	30859219	30859220	36	36	1
415	30859251	30859252	32	32	1
416	30859283	30859284	32	32	1
417	30859315	30859320	32	36	5
418	30859347	30859352	32	32	5
419	30859383	30859352	36	0	31
420	30859383	30859384	0	32	1
421	30859415	30859420	32	36	5
422	30859447	30859452	32	32	5
423	30859483	30859484	36	32	1
424	30859515	30859520	32	36	5
425	30859547	30859552	32	32	5
426	30859583	30859584	36	32	1
427	30859615	30859620	32	36	5
428	30859651	30859652	36	32	1
429	30859683	30859684	32	32	1
430	30859715	30859720	32	36	5
431	30859751	30859752	36	32	1
432	30859783	30859784	32	32	1
433	30859819	30859820	36	36	1
434	30859851	30859852	32	32	1
435	30859883	30859884	32	32	1
436	30859919	30859920	36	36	1
437	30859951	30859952	32	32	1
438	30859983	30859984	32	32	1
439	30860019	30859984	36	0	35
440	30860019	30860020	0	36	1
441	30860051	30860020	32	0	31
442	30860083	30860084	32	64	1
443	30860115	30860084	32	0	31
444	30860147	30860084	32	0	63
445	30860184	30860084	37	0	100
446	30860215	30860084	31	0	131
447	30860247	30860084	32	0	163
448	30860283	30860084	36	0	199
449	30860315	30860084	32	0	231
450	30860347	30860084	32	0	263
451	30860383	30860084	36	0	299
452	30860415	30860084	32	0	331
453	30860447	30860084	32	0	363
454	30860484	30860084	37	0	400
455	30860515	30860084	31	0	431
456	30860551	30860084	36	0	467
457	30860583	30860084	32	0	499
458	30860615	30860084	32	0	531
459	30860651	30860084	36	0	567
460	30860683	30860084	32	0	599
461	30860715	30860084	32	0	631
462	30860751	30860084	36	0	667
463	30860783	30860084	32	0	699
464	30860815	30860084	32	0	731
465	30860851	30860084	36	0	767
466	30860883	30860084	32	0	799
467	30860915	30860084	32	0	831
468	30860951	30860084	36	0	867
469	30860983	30860084	32	0	899
470	30861015	30860084	32	0	931
471	30861051	30860084	36	0	967
472	30861083	30860084	32	0	999
473	30861115	30860084	32	0	1031
474	30861151	30860084	36	0	1067
475	30861183	30860084	32	0	1099
476	30861215	30860084	32	0	1131
477	30861251	30860084	36	0	1167
478	30861283	30860084	32	0	1199
479	30861315	30860084	32	0	1231
480	30861351	30860084	36	0	1267
481	30861383	30860084	32	0	1299
482	30861415	30860084	32	0	1331
483	30861451	30860084	36	0	1367
484	30861484	30860084	33	0	1400
485	30861515	30860084	31	0	1431
486	30861551	30860084	36	0	1467
487	30861583	30860084	32	0	1499
488	30861616	30860084	33	0	1532
489	30861651	30860084	35	0	1567
490	30861683	30860084	32	0	1599
491	30861715	30860084	32	0	1631
492	30861751	30860084	36	0	1667
493	30861783	30860084	32	0	1699
494	30861819	30860084	36	0	1735
495	30861851	30860084	32	0	1767
496	30861883	30860084	32	0	1799
497	30861919	30860084	36	0	1835
498	30861951	30860084	32	0	1867
499	30861983	30860084	32	0	1899
