Frame	Depth	Color	D_i-D_i-1	C_i-C_i-1	C_i-D_i
0	30180050	30180018	30180050	30180018	32
1	30180082	30180086	32	68	4
2	30180118	30180118	36	32	0
3	30180150	30180150	32	32	0
4	30180182	30180186	32	36	4
5	30180214	30180218	32	32	4
6	30180246	30180250	32	32	4
7	30180282	30180286	36	36	4
8	30180314	30180318	32	32	4
9	30180346	30180350	32	32	4
10	30180382	30180386	36	36	4
11	30180414	30180418	32	32	4
12	30180446	30180450	32	32	4
13	30180482	30180486	36	36	4
14	30180514	30180486	32	0	28
15	30180514	30180518	0	32	4
16	30180546	30180550	32	32	4
17	30180582	30180586	36	36	4
18	30180618	30180618	36	32	0
19	30180650	30180650	32	32	0
20	30180682	30180686	32	36	4
21	30180718	30180718	36	32	0
22	30180750	30180750	32	32	0
23	30180782	30180786	32	36	4
24	30180818	30180818	36	32	0
25	30180850	30180850	32	32	0
26	30180882	30180886	32	36	4
27	30180918	30180918	36	32	0
28	30180950	30180950	32	32	0
29	30180982	30180986	32	36	4
30	30181014	30181018	32	32	4
31	30181046	30181050	32	32	4
32	30181082	30181086	36	36	4
33	30181114	30181118	32	32	4
34	30181146	30181150	32	32	4
35	30181182	30181186	36	36	4
36	30181214	30181218	32	32	4
37	30181246	30181250	32	32	4
38	30181282	30181250	36	0	32
39	30181282	30181286	0	36	4
40	30181314	30181318	32	32	4
41	30181350	30181350	36	32	0
42	30181382	30181386	32	36	4
43	30181418	30181418	36	32	0
44	30181450	30181450	32	32	0
45	30181486	30181486	36	36	0
46	30181518	30181518	32	32	0
47	30181554	30181550	36	32	4
48	30181586	30181586	32	36	0
49	30181618	30181618	32	32	0
50	30181650	30181650	32	32	0
51	30181682	30181686	32	36	4
52	30181718	30181718	36	32	0
53	30181750	30181750	32	32	0
54	30181782	30181786	32	36	4
55	30181814	30181818	32	32	4
56	30181846	30181850	32	32	4
57	30181882	30181886	36	36	4
58	30181914	30181918	32	32	4
59	30181950	30181950	36	32	0
60	30181982	30181986	32	36	4
61	30182018	30182018	36	32	0
62	30182050	30182050	32	32	0
63	30182086	30182086	36	36	0
64	30182118	30182118	32	32	0
65	30182150	30182150	32	32	0
66	30182186	30182186	36	36	0
67	30182218	30182218	32	32	0
68	30182250	30182250	32	32	0
69	30182282	30182286	32	36	4
70	30182314	30182318	32	32	4
71	30182350	30182318	36	0	32
72	30182350	30182350	0	32	0
73	30182382	30182386	32	36	4
74	30182414	30182418	32	32	4
75	30182446	30182450	32	32	4
76	30182478	30182486	32	36	8
77	30182514	30182486	36	0	28
78	30182514	30182518	0	32	4
79	30182546	30182550	32	32	4
80	30182578	30182586	32	36	8
81	30182614	30182618	36	32	4
82	30182646	30182650	32	32	4
83	30182678	30182686	32	36	8
84	30182714	30182718	36	32	4
85	30182746	30182750	32	32	4
86	30182778	30182786	32	36	8
87	30182814	30182818	36	32	4
88	30182850	30182850	36	32	0
89	30182882	30182886	32	36	4
90	30182914	30182918	32	32	4
91	30182950	30182950	36	32	0
92	30182982	30182986	32	36	4
93	30183014	30183018	32	32	4
94	30183050	30183050	36	32	0
95	30183082	30183086	32	36	4
96	30183114	30183118	32	32	4
97	30183150	30183154	36	36	4
98	30183182	30183186	32	32	4
99	30183218	30183218	36	32	0
100	30183250	30183254	32	36	4
101	30183282	30183286	32	32	4
102	30183318	30183318	36	32	0
103	30183350	30183354	32	36	4
104	30183382	30183386	32	32	4
105	30183418	30183418	36	32	0
106	30183450	30183454	32	36	4
107	30183482	30183486	32	32	4
108	30183518	30183518	36	32	0
109	30183550	30183554	32	36	4
110	30183582	30183586	32	32	4
111	30183618	30183618	36	32	0
112	30183650	30183654	32	36	4
113	30183682	30183686	32	32	4
114	30183718	30183718	36	32	0
115	30183750	30183754	32	36	4
116	30183782	30183786	32	32	4
117	30183818	30183818	36	32	0
118	30183850	30183854	32	36	4
119	30183882	30183886	32	32	4
120	30183918	30183918	36	32	0
121	30183950	30183954	32	36	4
122	30183982	30183986	32	32	4
123	30184018	30184018	36	32	0
124	30184050	30184054	32	36	4
125	30184082	30184086	32	32	4
126	30184118	30184118	36	32	0
127	30184150	30184154	32	36	4
128	30184182	30184186	32	32	4
129	30184218	30184218	36	32	0
130	30184250	30184254	32	36	4
131	30184282	30184286	32	32	4
132	30184314	30184318	32	32	4
133	30184346	30184354	32	36	8
134	30184382	30184386	36	32	4
135	30184414	30184418	32	32	4
136	30184446	30184454	32	36	8
137	30184482	30184486	36	32	4
138	30184514	30184518	32	32	4
139	30184546	30184554	32	36	8
140	30184582	30184586	36	32	4
141	30184614	30184618	32	32	4
142	30184650	30184654	36	36	4
143	30184682	30184686	32	32	4
144	30184718	30184718	36	32	0
145	30184750	30184754	32	36	4
146	30184782	30184786	32	32	4
147	30184818	30184818	36	32	0
148	30184850	30184854	32	36	4
149	30184882	30184886	32	32	4
